sampleid	Cluster	Description
K11709	2	K11709: manganese/zinc/iron transport system permease protein
K07446	2	K07446: putative methyltransferase
K10618	2	K10618: p-cumic aldehyde dehydrogenase
K01848	2	K01848: methylmalonyl-CoA mutase N-terminal domain
K01841	2	K01841: phosphoenolpyruvate phosphomutase
K03918	2	K03918: L-lysine 6-transaminase
K12373	2	K12373: beta-hexosaminidase
K13574	2	K13574
K12111	2	K12111: evolved beta-galactosidase subunit alpha
K07588	2	K07588: LAO/AO transport system kinase
K07583	2	K07583: hypothetical protein
K07581	2	K07581: hypothetical protein
K06984	2	K06984
K00588	2	K00588: caffeoyl-CoA O-methyltransferase
K12582	2	K12582
K01539	2	K01539: Na+/K+-exchanging ATPase alpha subunit
K04720	2	K04720: threonine-phosphate decarboxylase
K03392	2	K03392: aminocarboxymuconate-semialdehyde decarboxylase
K03390	2	K03390: heterodisulfide reductase subunit C
K00617	2	K00617
K04110	2	K04110: benzoate-CoA ligase
K07700	2	K07700: two-component system CitB family cit operon sensor histidine
K04127	2	K04127: isopenicillin-N epimerase
K06215	2	K06215: pyridoxine biosynthesis protein
K02962	2	K02962: small subunit ribosomal protein S17e
K01706	2	K01706: glucarate dehydratase
K01705	2	K01705: homoaconitate hydratase
K05396	2	K05396: D-cysteine desulfhydrase
K06888	2	K06888
K06865	2	K06865
K12658	2	K12658: 4-hydroxyproline epimerase
K14081	2	K14081
K14084	2	K14084
K14088	2	K14088
K03044	2	K03044: DNA-directed RNA polymerase subunit B'
K03045	2	"K03045: DNA-directed RNA polymerase subunit B"""
K07728	2	K07728: putative transcriptional regulator
K07720	2	K07720: two-component system response regulator YesN
K00895	2	K00895: pyrophosphate--fructose-6-phosphate 1-phosphotransferase
K03725	2	K03725: archaea-specific helicase
K12678	2	K12678: AIDA-I adhesin-like protein
K04093	2	K04093: chorismate mutase
K01576	2	K01576: benzoylformate decarboxylase
K01577	2	K01577: oxalyl-CoA decarboxylase
K01572	2	K01572: oxaloacetate decarboxylase beta subunit
K02009	2	K02009: cobalt transport protein
K10201	2	K10201: N-acetylglucosamine transport system permease protein
K10759	2	K10759: tannase
K01960	2	K01960: pyruvate carboxylase subunit B
K07744	2	K07744: hypothetical protein
K01741	2	K01741: DNA-(apurinic or apyrimidinic site) lyase
K14122	2	K14122
K02217	2	K02217: ferritin 1
K09740	2	K09740: hypothetical protein
K06026	2	K06026
K06351	2	K06351: inhibitor of KinA
K00179	2	K00179: indolepyruvate ferredoxin oxidoreductase alpha subunit
K00178	2	K00178: oxidoreductase containing iron-sulfur protein
K00175	2	K00175: 2-oxoglutarate ferredoxin oxidoreductase subunit beta
K00174	2	K00174: 2-oxoglutarate ferredoxin oxidoreductase subunit alpha
K14333	2	K14333
K13479	2	K13479
K04076	2	K04076: Lon-like ATP-dependent protease
K12999	2	K12999
K03080	2	K03080: L-ribulose-5-phosphate 4-epimerase
K07501	2	K07501: hypothetical protein
K07508	2	K07508: acetyl-CoA acyltransferase 2
K01013	2	K01013
K12507	2	K12507: acyl-CoA synthetase
K06599	2	K06599: AraC family transcriptional regulator chemosensory pili system
K10907	2	K10907: aminotransferase
K10906	2	K10906: exodeoxyribonuclease VIII
K10908	2	K10908: DNA-directed RNA polymerase mitochondrial
K06373	2	K06373: spore maturation protein A
K06370	2	K06370: morphogenetic protein associated with SpoVID
K10015	2	K10015: histidine transport system permease protein
K10016	2	K10016: histidine transport system permease protein
K13665	2	K13665
K01466	2	K01466: allantoinase
K01464	2	K01464: dihydropyrimidinase
K09251	2	K09251: putrescine aminotransferase
K09252	2	K09252: feruloyl esterase
K04835	2	K04835: methylaspartate ammonia-lyase
K07562	2	K07562: nonsense-mediated mRNA decay protein 3
K07783	2	K07783: MFS transporter OPA family sugar phosphate sensor protein UhpC
K00037	2	K00037: 3-alpha-hydroxysteroid dehydrogenase
K00034	2	K00034: glucose 1-dehydrogenase
K01253	2	K01253: microsomal epoxide hydrolase
K09003	2	K09003: hypothetical protein
K14475	2	K14475
K01787	2	K01787: N-acylglucosamine 2-epimerase
K01781	2	K01781: mandelate racemase
K12527	2	K12527: putative selenate reductase
K07049	2	K07049
K02061	2	K02061: putative sulfate transport system substrate-binding protein
K02060	2	K02060: putative sulfate transport system permease protein
K12952	2	K12952
K00109	2	K00109: 2-hydroxyglutarate dehydrogenase
K06144	2	K06144: universal stress protein B
K07237	2	K07237: tRNA 2-thiouridine synthesizing protein B
K08643	2	K08643: zinc metalloprotease ZmpB
K01277	2	K01277: dipeptidyl-peptidase III
K00908	2	K00908: Ca2+/calmodulin-dependent protein kinase
K06339	2	K06339: spore coat protein T
K10946	2	K10946: ammonia monooxygenase subunit C
K10944	2	K10944: ammonia monooxygenase subunit A
K00483	2	K00483: 4-hydroxyphenylacetate-3-hydroxylase large chain
K04015	2	K04015: formate-dependent nitrate reductase complex transmembrane protein
K07066	2	K07066
K07214	2	K07214: enterochelin esterase and related enzymes
K07219	2	K07219: putative molybdopterin biosynthesis protein
K10535	2	K10535: hydroxylamine oxidase
K08276	2	K08276: ecotin
K00926	2	K00926: carbamate kinase
K01150	2	K01150: deoxyribonuclease I
K01151	2	K01151: deoxyribonuclease IV
K08602	2	K08602: oligoendopeptidase F
K00054	2	K00054: hydroxymethylglutaryl-CoA reductase
K01893	2	K01893: asparaginyl-tRNA synthetase
K03490	2	K03490: AraC family transcriptional regulator cel operon repressor
K06045	2	K06045: squalene-hopene cyclase
K09723	2	K09723: hypothetical protein
K07024	2	K07024
K00559	2	K00559: sterol 24-C-methyltransferase
K01174	2	K01174: micrococcal nuclease
K14578	2	K14578
K12240	2	K12240: pyochelin synthetase
K11918	2	K11918: type VI secretion system protein
K11913	2	K11913: type VI secretion system protein
K11912	2	K11912: serine/threonine-protein kinase PpkA
K12062	2	K12062: conjugal transfer pilin signal peptidase TrbI
K12063	2	K12063: conjugal transfer ATP-binding protein TraC
K12066	2	K12066: conjugal transfer pilus assembly protein TraK
K12064	2	K12064: conjugal transfer pilus assembly protein TraV
K12065	2	K12065: conjugal transfer pilus assembly protein TraB
K07257	2	K07257: spore coat polysaccharide biosynthesis protein SpsF
K09974	2	K09974: hypothetical protein
K09975	2	K09975: hypothetical protein
K10797	2	K10797: 2-enoate reductase
K00702	2	K00702: cellobiose phosphorylase
K01615	2	K01615: glutaconyl-CoA decarboxylase
K09703	2	K09703: hypothetical protein
K09700	2	K09700: hypothetical protein
K06936	2	K06936
K00391	2	K00391
K01376	2	K01376
K05708	2	K05708: large terminal subunit of phenylpropionate dioxygenase
K00577	2	K00577: tetrahydromethanopterin S-methyltransferase subunit A
K10754	2	K10754: replication factor C subunit 1
K13021	2	K13021
K06237	2	K06237: collagen type IV alpha
K00184	2	K00184: molybdopterin oxidoreductase iron-sulfur binding subunit
K00180	2	K00180: indolepyruvate ferredoxin oxidoreductase beta subunit
K10113	2	K10113: maltooligosaccharide transport system substrate-binding protein
K00985	2	K00985: RNA-directed RNA polymerase
K00980	2	K00980: glycerol-3-phosphate cytidylyltransferase
K03457	2	K03457: nucleobase:cation symporter-1 NCS1 family
K01639	2	K01639: N-acetylneuraminate lyase
K01634	2	K01634: sphinganine-1-phosphate aldolase
K01631	2	K01631: 2-dehydro-3-deoxyphosphogalactonate aldolase
K07354	2	K07354: outer membrane usher protein
K06919	2	K06919
K06912	2	K06912: alpha-ketoglutarate-dependent 24-dichlorophenoxyacetate dioxygenase
K09164	2	K09164: hypothetical protein
K01134	2	K01134: arylsulfatase A
K01136	2	K01136: iduronate 2-sulfatase
K02119	2	K02119: V-type H+-transporting ATPase subunit C
K13007	2	K13007
K13004	2	K13004
K13009	2	K13009
K13918	2	K13918
K08326	2	K08326: aminopeptidase
K08324	2	K08324: aldehyde dehydrogenase family protein
K01655	2	K01655: homocitrate synthase
K09743	2	K09743: hypothetical protein
K09746	2	K09746: hypothetical protein
K03471	2	K03471: ribonuclease HIII
K06974	2	K06974
K05956	2	K05956: protein geranylgeranyltransferase type II
K05957	2	K05957: L-glutamine:scyllo-inosose aminotransferase
K05303	2	K05303: macrocin O-methyltransferase
K03228	2	K03228: type III secretion protein SctT
K08685	2	K08685: amine dehydrogenase
K08687	2	K08687: N-carbamoylsarcosine amidase
K12083	2	K12083: type IV secretion system protein PtlH
K04940	2	K04940: opine dehydrogenase
K01818	2	K01818: L-fucose isomerase
K08302	2	K08302: tagatose 16-diphosphate aldolase
K01677	2	K01677: fumarate hydratase subunit alpha
K03418	2	K03418: NN-dimethylformamidase
K02322	2	K02322: DNA polymerase II large subunit
K02323	2	K02323: DNA polymerase II small subunit
K07310	2	K07310: putative dimethyl sulfoxide reductase subunit YnfF
K07311	2	K07311: putative dimethyl sulfoxide reductase subunit YnfG (DMSO reductase
K03420	2	K03420: proteasome regulatory subunit
K06950	2	K06950
K10817	2	K10817: erythronolide synthase
K04496	2	K04496: C-terminal binding protein
K10211	2	K10211: 44'-diaponeurosporenoate glycosyltransferase
K13730	2	K13730
K11779	2	K11779: FO synthase
K06325	2	K06325: spore coat protein B
K07129	2	K07129
K07126	2	K07126
K02347	2	K02347: DNA polymerase (family X)
K09690	2	K09690: lipopolysaccharide transport system permease protein
K05998	2	K05998: pseudomonalisin
K10833	2	K10833: teichoic-acid-transporting ATPase
K00317	2	K00317: trimethylamine dehydrogenase
K00316	2	K00316: spermidine dehydrogenase
K04340	2	K04340: scyllo-inosamine-4-phosphate amidinotransferase 1
K13713	2	K13713
K07103	2	K07103
K10198	2	K10198: glucose/arabinose transport system permease protein
K01858	2	K01858: myo-inositol-1-phosphate synthase
K00455	2	K00455: 34-dihydroxyphenylacetate 23-dioxygenase
K00105	2	K00105: alpha-glycerophosphate oxidase
K01503	2	K01503
K13503	2	K13503
K11050	2	K11050: multidrug/hemolysin transport system ATP-binding protein
K04107	2	K04107: 4-hydroxybenzoyl-CoA reductase subunit 1
K04108	2	K04108: 4-hydroxybenzoyl-CoA reductase subunit 2
K04109	2	K04109: 4-hydroxybenzoyl-CoA reductase subunit 3
K07710	2	K07710: two-component system NtrC family sensor histidine kinase AtoS
K00849	2	K00849: galactokinase
K00848	2	K00848: rhamnulokinase
K01715	2	K01715: 3-hydroxybutyryl-CoA dehydratase
K08137	2	K08137: MFS transporter SP family galactose:H+ symporter
K13995	2	K13995
K13990	2	K13990
K06871	2	K06871
K02380	2	K02380: FdhE protein
K03384	2	K03384
K03383	2	K03383: cyanuric acid amidohydrolase
K03389	2	K03389: heterodisulfide reductase subunit B
K03388	2	K03388: heterodisulfide reductase subunit A
K13831	2	K13831
K06607	2	K06607: myo-inositol catabolism protein IolS
K06606	2	K06606: inosose isomerase
K00603	2	K00603: glutamate formiminotransferase
K03748	2	K03748: SanA protein
K07806	2	K07806: UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase
K07731	2	K07731: putative transcriptional regulator
K02974	2	K02974: small subunit ribosomal protein S24e
K03552	2	K03552: holliday junction resolvase archaea type
K01771	2	K01771: 1-phosphatidylinositol phosphodiesterase
K01777	2	K01777: proline racemase
K03738	2	K03738: aldehyde:ferredoxin oxidoreductase
K08384	2	K08384: stage V sporulation protein D (sporulation-specific
K03941	2	K03941: NADH dehydrogenase (ubiquinone) Fe-S protein 8
K08942	2	K08942: photosystem P840 reaction center cytochrome c551
K13811	2	K13811
K02550	2	K02550: glycolate permease
K00087	2	K00087: xanthine dehydrogenase
K09568	2	K09568: FK506-binding protein 1
K03537	2	K03537: ribonuclease P subunit P14
K12684	2	K12684: serine protease autotransporter
K09825	2	K09825: Fur family transcriptional regulator peroxide stress response
K10939	2	K10939: accessory colonization factor AcfD
K10681	2	K10681: two-component system OmpR family sensor histidine kinase SaeS
K01565	2	K01565: N-sulfoglucosamine sulfohydrolase
K08965	2	K08965: 23-diketo-5-methylthiopentyl-1-phosphate enolase
K06137	2	K06137: pyrroloquinoline-quinone synthase
K00206	2	K00206
K03518	2	K03518: carbon-monoxide dehydrogenase small subunit
K11358	2	K11358: aspartate aminotransferase
K11637	2	K11637: two-component system CitB family sensor histidine kinase CitS
K07579	2	K07579: putative methylase
K02917	2	K02917: large subunit ribosomal protein L35Ae
K00227	2	K00227: lathosterol oxidase
K01062	2	K01062: 1-alkyl-2-acetylglycerophosphocholine esterase
K10978	2	K10978: threo-isocitrate dehydrogenase
K10022	2	K10022: arginine/ornithine transport system substrate-binding protein
K10023	2	K10023: arginine/ornithine transport system permease protein
K13615	2	K13615
K05796	2	K05796: electron transport protein HydN
K01474	2	K01474: N-methylhydantoinase B
K01473	2	K01473: N-methylhydantoinase A
K03833	2	K03833: selenocysteine-specific elongation factor
K06859	2	K06859: glucose-6-phosphate isomerase archaeal
K10701	2	K10701: acetophenone carboxylase
K10700	2	K10700: ethylbenzene hydroxylase
K01268	2	K01268: aminopeptidase I
K08221	2	K08221: MFS transporter ACDE family multidrug resistance protein
K01042	2	K01042: L-seryl-tRNA(Ser) seleniumtransferase
K01049	2	K01049: acetylcholinesterase
K12555	2	K12555: penicillin-binding protein 2A
K06897	2	K06897
K00499	2	K00499: choline monooxygenase
K00495	2	K00495
K04021	2	K04021: aldehyde dehydrogenase
K04020	2	K04020: ethanolamine utilization protein EutD
K07057	2	K07057
K07051	2	K07051
K05776	2	K05776: molybdate transport system ATP-binding protein
K12940	2	K12940
K06156	2	K06156: Gnt-I system low-affinity gluconate transporter
K11942	2	K11942: methylmalonyl-CoA mutase
K11943	2	K11943: PAH dioxygenase large subunit
K00008	2	K00008: L-iditol 2-dehydrogenase
K07698	2	K07698: two-component system sporulation family sensor sporulation kinase
K07072	2	K07072
K08589	2	K08589: gingipain R
K14520	2	K14520
K12299	2	K12299: MFS transporter ACS family probable galactarate transporter
K11921	2	K11921: LysR family transcriptional regulator
K00066	2	K00066: GDP-mannose 6-dehydrogenase
K14197	2	K14197
K14192	2	K14192
K01886	2	K01886: glutaminyl-tRNA synthetase
K00934	2	K00934: arginine kinase
K01085	2	K01085: glucose-1-phosphatase
K09739	2	K09739: hypothetical protein
K00544	2	K00544: betaine-homocysteine S-methyltransferase
K00545	2	K00545: catechol O-methyltransferase
K13237	2	K13237
K07248	2	K07248: glycolaldehyde dehydrogenase
K06017	2	K06017
K01604	2	K01604: methylmalonyl-CoA decarboxylase alpha chain
K01605	2	K01605: methylmalonyl-CoA decarboxylase beta chain
K09711	2	K09711: hypothetical protein
K06073	2	K06073: vitamin B12 transport system permease protein
K07656	2	K07656: two-component system OmpR family sensor histidine kinase TrcS
K06928	2	K06928
K09154	2	K09154: hypothetical protein
K05715	2	K05715: 2-phosphoglycerate kinase
K05713	2	K05713: 23-dihydroxyphenylpropionate 12-dioxygenase
K01162	2	K01162: ribonuclease III
K01161	2	K01161: deoxyribonuclease (pyrimidine dimer)
K01160	2	K01160: crossover junction endodeoxyribonuclease RusA
K08093	2	K08093: 3-hexulose-6-phosphate synthase
K02122	2	K02122: V-type H+-transporting ATPase subunit F
K02120	2	K02120: V-type H+-transporting ATPase subunit D
K02121	2	K02121: V-type H+-transporting ATPase subunit E
K03831	2	K03831: molybdopterin biosynthesis protein Mog
K12253	2	K12253: 5-guanidino-2-oxopentanoate decarboxylase
K13252	2	K13252
K11529	2	K11529: glycerate kinase
K00712	2	K00712: poly(glycerol-phosphate) alpha-glucosyltransferase
K01593	2	K01593: aromatic-L-amino-acid decarboxylase
K01590	2	K01590: histidine decarboxylase
K05296	2	K05296: 3(or 17)beta-hydroxysteroid dehydrogenase
K09776	2	K09776: hypothetical protein
K12440	2	K12440: phenolpthiocerol synthesis type-I polyketide synthase A
K12443	2	K12443: phenolpthiocerol synthesis type-I polyketide synthase D
K06905	2	K06905
K01361	3	K01361: lactocepin
K05593	3	K05593: aminoglycoside 6-adenylyltransferase
K05594	3	K05594: ElaB protein
K12528	3	K12528: putative selenate reductase molybdopterin-binding subunit
K13276	3	K13276
K07220	3	K07220: hypothetical protein
K09909	3	K09909: hypothetical protein
K07176	3	K07176: putative serine/threonine protein kinase
K07174	3	K07174: Mn2+-dependent serine/threonine protein kinase
K07171	3	K07171
K00194	3	K00194: carbon-monoxide dehydrogenase delta subunit
K00190	3	K00190
K01821	3	K01821: 4-oxalocrotonate tautomerase
K00992	3	K00992
K13489	3	K13489
K13480	3	K13480
K13486	3	K13486
K08356	3	K08356: arsenite oxidase large subunit
K08355	3	K08355: arsenite oxidase small subunit
K08350	3	K08350: formate dehydrogenase-N gamma subunit
K01648	3	K01648: ATP citrate (pro-S)-lyase
K01643	3	K01643: citrate lyase subunit alpha
K01641	3	K01641: hydroxymethylglutaryl-CoA synthase
K02598	3	K02598: nitrite transporter NirC
K02849	3	K02849: heptosyltransferase III
K09759	3	K09759: nondiscriminating aspartyl-tRNA synthetase
K06962	3	K06962
K06961	3	K06961
K06965	3	K06965
K08995	3	K08995: putative membrane protein
K08996	3	K08996: putative membrane protein
K09118	3	K09118: hypothetical protein
K05826	3	K05826: lysine biosynthesis protein LysW
K05827	3	K05827: lysine biosynthesis protein LysX
K00527	3	K00527: ribonucleoside-triphosphate reductase
K13074	3	K13074
K13075	3	K13075
K14054	3	K14054
K08690	3	K08690: cis-23-dihydrobiphenyl-23-diol dehydrogenase
K09923	3	K09923: hypothetical protein
K09766	3	K09766: hypothetical protein
K07151	3	K07151: dolichyl-diphosphooligosaccharide--protein glycosyltransferase
K01663	3	K01663
K02866	3	K02866: large subunit ribosomal protein L10e
K02869	3	K02869: large subunit ribosomal protein L12
K02319	3	K02319: DNA polymerase I
K07094	3	K07094
K07099	3	K07099
K11173	3	K11173: hydroxyacid-oxoacid transhydrogenase
K00326	3	K00326: cytochrome-b5 reductase
K06944	3	K06944
K14274	3	K14274
K00810	3	K00810
K00814	3	K00814: alanine transaminase
K13057	3	K13057
K13722	3	K13722
K03239	3	K03239: translation initiation factor eIF-2B alpha subunit
K03238	3	K03238: translation initiation factor eIF-2 beta subunit
K03231	3	K03231: elongation factor EF-1 alpha subunit
K03232	3	K03232: elongation factor EF-1 beta subunit
K03237	3	K03237: translation initiation factor eIF-2 alpha subunit
K03236	3	K03236: translation initiation factor eIF-1A
K12234	3	K12234: F420-0:gamma-glutamyl ligase
K07139	3	K07139
K07133	3	K07133
K08318	3	K08318: putative dehydrogenase
K02889	3	K02889: large subunit ribosomal protein L21e
K02885	3	K02885: large subunit ribosomal protein L19e
K02883	3	K02883: large subunit ribosomal protein L18e
K02080	3	K02080: galactosamine-6-phosphate isomerase
K03931	3	K03931: putative isomerase [CAZy:GH63]
K03680	3	K03680: translation initiation factor eIF-2B delta subunit
K00309	3	K00309
K01304	3	K01304: pyroglutamyl-peptidase
K04486	3	K04486: histidinol-phosphatase (PHP family)
K04483	3	K04483: DNA repair protein RadA
K03749	3	K03749: DedD protein
K07543	3	K07543: benzylsuccinate CoA-transferase BbsE subunit
K13963	3	K13963
K11705	3	K11705: iron/zinc/copper transport system permease protein
K07448	3	K07448: restriction system protein
K01849	3	K01849: methylmalonyl-CoA mutase C-terminal domain
K01846	3	K01846: methylaspartate mutase
K01843	3	K01843: lysine 23-aminomutase
K04748	3	K04748: nitric-oxide reductase NorQ protein
K01512	3	K01512: acylphosphatase
K07325	3	K07325: archaeal flagellin FlaB
K06188	3	K06188: aquaporin Z
K07582	3	K07582: hypothetical protein
K07580	3	K07580: hypothetical protein
K06988	3	K06988
K06989	3	K06989: aspartate dehydrogenase
K06981	3	K06981
K06982	3	K06982
K00586	3	K00586: diphthine synthase
K00587	3	K00587: protein-S-isoprenylcysteine O-methyltransferase
K02117	3	K02117: V-type H+-transporting ATPase subunit A
K01180	3	K01180: endo-13(4)-beta-glucanase
K02984	3	K02984: small subunit ribosomal protein S3Ae
K02987	3	K02987: small subunit ribosomal protein S4e
K08298	3	K08298: crotonobetainyl-CoA:carnitine CoA-transferase
K02848	3	K02848: lipopolysaccharide core biosynthesis protein RFAP
K02189	3	K02189: cobalamin biosynthesis protein CbiG
K03763	3	K03763: DNA polymerase III subunit alpha Gram-positive type
K12589	3	K12589: exosome complex component RRP42
K07466	3	K07466: replication factor A1
K07463	3	K07463: archaea-specific RecJ-like exonuclease
K10671	3	K10671: sarcosine reductase
K10670	3	K10670: glycine reductase
K10672	3	K10672: betaine reductase
K10674	3	K10674: ectoine hydroxylase
K03399	3	K03399: precorrin-6Y C515-methyltransferase
K00610	3	K00610: aspartate carbamoyltransferase regulatory subunit
K04113	3	K04113: benzoyl-CoA reductase subunit
K04112	3	K04112: benzoyl-CoA reductase subunit
K04115	3	K04115: benzoyl-CoA reductase subunit
K04114	3	K04114: benzoyl-CoA reductase subunit
K07701	3	K07701: two-component system CitB family sensor histidine kinase DcuS
K07703	3	K07703: two-component system CitB family response regulator DcuR
K09934	3	K09934: hypothetical protein
K02966	3	K02966: small subunit ribosomal protein S19e
K14165	3	K14165
K14166	3	K14166
K03709	3	K03709: DtxR family transcriptional regulator Mn-dependent transcriptional
K06286	3	K06286: septation ring formation regulator
K06869	3	K06869
K06863	3	K06863: 5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl
K06862	3	K06862
K00132	3	K00132: acetaldehyde dehydrogenase (acetylating)
K04708	3	K04708: 3-dehydrosphinganine reductase
K13533	3	K13533
K02976	3	K02976: small subunit ribosomal protein S26e
K03049	3	K03049: DNA-directed RNA polymerase subunit E'
K03042	3	"K03042: DNA-directed RNA polymerase subunit A"""
K03041	3	K03041: DNA-directed RNA polymerase subunit A'
K03047	3	K03047: DNA-directed RNA polymerase subunit D
K10353	3	K10353: deoxyadenosine kinase
K00695	3	K00695: sucrose synthase
K00096	3	K00096: glycerol-1-phosphate dehydrogenase [NAD(P)]
K07392	3	K07392: AAA family ATPase
K07722	3	K07722: CopG family transcriptional regulator nickel-responsive regulator
K00892	3	K00892: inosine kinase
K03546	3	K03546: exonuclease SbcC
K03540	3	K03540: ribonuclease P subunit RPR2
K03726	3	K03726: helicase
K10208	3	K10208: dehydrosqualene synthase
K07748	3	K07748: sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating)
K02922	3	K02922: large subunit ribosomal protein L37e
K02921	3	K02921: large subunit ribosomal protein L37Ae
K02927	3	K02927: large subunit ribosomal protein L40e
K02924	3	K02924: large subunit ribosomal protein L39e
K02928	3	K02928: large subunit ribosomal protein L41e
K02929	3	K02929: large subunit ribosomal protein L44e
K01746	3	K01746: formiminotetrahydrofolate cyclodeaminase
K09741	3	K09741: hypothetical protein
K00172	3	K00172: pyruvate ferredoxin oxidoreductase gamma subunit
K00171	3	K00171: pyruvate ferredoxin oxidoreductase delta subunit
K00170	3	K00170: pyruvate ferredoxin oxidoreductase beta subunit
K00177	3	K00177: 2-oxoglutarate ferredoxin oxidoreductase subunit gamma
K00176	3	K00176: 2-oxoglutarate ferredoxin oxidoreductase subunit delta
K04072	3	K04072: acetaldehyde dehydrogenase
K04070	3	K04070: putative pyruvate formate lyase activating enzyme
K14597	3	K14597
K08979	3	K08979: putative membrane protein
K08971	3	K08971: putative membrane protein
K03082	3	K03082: hexulose-6-phosphate isomerase
K11646	3	K11646: dehydroquinate synthase II
K11645	3	K11645: 2-amino-37-dideoxy-D-threo-hept-6-ulosonic acid synthase
K10775	3	K10775: phenylalanine ammonia-lyase
K01905	3	K01905: acetyl-CoA synthetase (ADP-forming)
K02908	3	K02908: large subunit ribosomal protein L30e
K01014	3	K01014: aryl sulfotransferase
K07979	3	K07979: GntR family transcriptional regulator
K09726	3	K09726: hypothetical protein
K09721	3	K09721: hypothetical protein
K08975	3	K08975: putative membrane protein
K07158	3	K07158
K07159	3	K07159
K07561	3	K07561: diphthamide synthase subunit DPH2
K07563	3	K07563: ribosome biogenesis protein Nop10
K07569	3	K07569: RNA-binding protein
K08164	3	K08164: MFS transporter DHA1 family chloramphenicol resistance protein
K01060	3	K01060: cephalosporin-C deacetylase
K02525	3	K02525: LacI family transcriptional regulator kdg operon repressor
K03785	3	K03785: 3-dehydroquinate dehydratase I
K03124	3	K03124: transcription initiation factor TFIIB
K03120	3	K03120: transcription initiation factor TFIID TATA-box-binding protein
K12526	3	K12526: bifunctional diaminopimelate decarboxylase/aspartate kinase
K09785	3	K09785: hypothetical protein
K11382	3	K11382: MFS transporter OPA family phosphoglycerate transporter protein
K07041	3	K07041
K03330	3	K03330: glutamyl-tRNA(Gln) amidotransferase subunit E
K13810	3	K13810
K03058	3	K03058: DNA-directed RNA polymerase subunit N
K11600	3	K11600: exosome complex component RRP41
K13818	3	K13818
K03050	3	"K03050: DNA-directed RNA polymerase subunit E"""
K07546	3	K07546: E-phenylitaconyl-CoA hydratase
K03105	3	K03105: signal recognition particle subunit SRP19
K00486	3	K00486: kynurenine 3-monooxygenase
K03660	3	K03660: N-glycosylase/DNA lyase
K07060	3	K07060
K07065	3	K07065
K07069	3	K07069
K14534	3	K14534
K07538	3	K07538: 6-hydroxycyclohex-1-ene-1-carboxyl-CoA dehydrogenase
K07537	3	K07537: cyclohexa-15-dienecarbonyl-CoA hydratase
K07533	3	K07533: foldase protein PrsA
K08689	3	K08689: biphenyl 23-dioxygenase
K10533	3	K10533: limonene-12-epoxide hydrolase
K00299	3	K00299: FMN reductase
K01210	3	K01210: glucan 13-beta-glucosidase
K02560	3	K02560: lipid A biosynthesis (KDO)2-(lauroyl)-lipid iva acyltransferase
K03163	3	K03163: DNA topoisomerase I
K03162	3	K03162: major outer membrane protein
K03167	3	K03167: DNA topoisomerase VI subunit B
K03166	3	K03166: DNA topoisomerase VI subunit A
K07005	3	K07005
K09181	3	K09181: hypothetical protein
K08590	3	K08590: carbon-nitrogen hydrolase family protein
K01401	3	K01401: aureolysin
K03802	3	K03802: cyanophycin synthetase
K09951	3	K09951: CRISPR-associated protein Cas2
K07495	3	K07495: putative transposase
K07494	3	K07494: putative transposase
K00729	3	K00729: dolichyl-phosphate beta-glucosyltransferase
K00051	3	K00051: malate dehydrogenase (NADP+)
K01232	3	K01232: maltose-6'-phosphate glucosidase
K02817	3	K02817: PTS system trehalose-specific IIA component
K09728	3	K09728: hypothetical protein
K03622	3	K03622: archaea-specific DNA-binding protein
K07398	3	K07398: conserved protein with predicted RNA binding PUA domain
K07396	3	K07396: putative protein-disulfide isomerase
K10896	3	K10896: fanconi anemia group M protein
K07023	3	K07023: putative hydrolases of HD superfamily
K00555	3	K00555: tRNA (guanine-N2-)-methyltransferase
K01170	3	K01170: tRNA-intron endonuclease
K14579	3	K14579
K12242	3	K12242: pyochelin biosynthetic protein PchC
K12068	3	K12068: conjugal transfer pilus assembly protein TraL
K07251	3	K07251: thiamine kinase
K07256	3	K07256: taurine dehydrogenase large subunit
K07254	3	K07254: hypothetical protein
K11260	3	K11260: formylmethanofuran dehydrogenase subunit G
K00965	3	K00965: UDPglucose--hexose-1-phosphate uridylyltransferase
K00960	3	K00960: DNA-directed RNA polymerase
K12681	3	K12681: pertactin
K01612	3	K01612: 4-hydroxybenzoate decarboxylase
K05281	3	K05281: 2'-hydroxyisoflavone reductase
K09707	3	K09707: hypothetical protein
K06935	3	K06935
K06937	3	K06937
K06932	3	K06932
K09148	3	K09148: hypothetical protein
K09141	3	K09141: hypothetical protein
K09140	3	K09140: hypothetical protein
K09143	3	K09143: hypothetical protein
K09142	3	K09142: hypothetical protein
K05709	3	K05709: small terminal subunit of phenylpropionate dioxygenase
K03234	3	K03234: elongation factor EF-2
K13798	3	K13798
K12268	3	K12268: accessory secretory protein Asp1
K03264	3	K03264: translation initiation factor eIF-6
K03265	3	K03265: peptide chain release factor eRF subunit 1
K03263	3	K03263: translation initiation factor eIF-5A
K03268	3	K03268: benzene 12-dioxygenase
K06236	3	K06236: collagen type I/II/III/V/XI alpha
K00186	3	K00186: 2-oxoisovalerate ferredoxin oxidoreductase alpha subunit
K00187	3	K00187: 2-oxoisovalerate ferredoxin oxidoreductase beta subunit
